AUDJPY,AUDNZD,AUDUSD,CADJPY,EURJPY,EURUSD,GBPJPY,USDJPY
92.513,1.08965,0.66231745,103.998,149.656,1.0716965,173.631,139.683
92.98,1.09632,0.66645783,103.93,149.055,1.0687186,173.11,139.562
92.961,1.09607,0.66575676,104.017,149.115,1.068262,173.154,139.626
92.986,1.09639,0.6661693,104.007,149.105,1.0681478,173.151,139.653
92.984,1.09658,0.66582775,104.041,149.1,1.0679197,173.159,139.676
92.955,1.09662,0.66551757,104.02,149.143,1.068262,173.167,139.695
92.881,1.09642,0.66489804,103.987,149.142,1.0676916,173.207,139.74
92.918,1.09659,0.66502625,103.969,149.15,1.0680338,173.231,139.754
92.931,1.09657,0.6648494,104.024,149.147,1.0674638,173.277,139.79
92.923,1.09685,0.664761,104.045,149.173,1.0672358,173.29,139.825
92.947,1.09701,0.6648936,104.106,149.225,1.0670081,173.373,139.868
92.972,1.09707,0.66524744,104.097,149.196,1.0678056,173.349,139.762
92.94,1.09675,0.6654245,104.03,149.18,1.0678056,173.361,139.778
92.963,1.09683,0.66538024,104.019,149.155,1.0675777,173.35,139.787
92.973,1.09683,0.6654688,103.987,149.179,1.0679197,173.339,139.778
92.985,1.09707,0.6656017,103.992,149.2,1.0680338,173.344,139.756
92.97,1.09699,0.6654245,103.956,149.162,1.0679197,173.296,139.721
92.93,1.09719,0.6658233,103.88,149.14,1.068262,173.2,139.636
92.94,1.09724,0.6656903,103.834,149.134,1.0680338,173.229,139.669
92.939,1.09742,0.6654688,103.897,149.185,1.0681478,173.255,139.678
92.946,1.09759,0.6658233,103.845,149.148,1.0683761,173.241,139.646
